name,author,rating,review,price,year,genre,image,description
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,https://books.google.com/books/publisher/content/images/frontcover/x7hvDwAAQBAJ?fife=w400-h600&source=gbs_api,"A collection of quirky, fun facts."
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,https://books.google.com/books/publisher/content/images/frontcover/YbtNDwAAQBAJ?fife=w400-h600&source=gbs_api,"An intimate, powerful, and inspiring memoir by the former First Lady of the United States #1 NEW YORK TIMES BESTSELLER • WATCH THE EMMY-NOMINATED NETFLIX ORIGINAL DOCUMENTARY • OPRAH’S BOOK CLUB PICK • NAACP IMAGE AWARD WINNER • ONE OF ESSENCE’S 50 MOST IMPACTFUL BLACK BOOKS OF THE PAST 50 YEARS In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare. In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it—in her own words and on her own terms. Warm, wise, and revelatory, Becoming is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations—and whose story inspires us to do the same."
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,https://books.google.com/books/publisher/content/images/frontcover/O_9SPgAACAAJ?fife=w400-h600&source=gbs_api,"With more than two million copies sold, Brown Bear, Brown Bear, What Do You See? has opened up a world of learning to a generation of children. For this edition, created for the twenty-fifth anniversay in 1992, Bill Martin, Jr., restored his text to its original wording. And Eric Carle created all new pictures--based on the originals, but clearer, brighter, and truer to the colors they represent."
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,https://books.google.com/books/publisher/content/images/frontcover/GLxbDwAAQBAJ?fife=w400-h600&source=gbs_api,"The heroic hound is send to jail in the sixth Dog Man book from worldwide bestselling author and artist Dav Pilkey. Is Dog Man bad to the bone? The canine cop is sent to the pound for a crime he didn't commit! While his pals work to prove his innocence, Dog Man struggles to find his place among dogs and people. Being a part of both worlds, will he ever fully fit in with one? Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of being true to one's self."
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,https://books.google.com/books/publisher/content/images/frontcover/Wo1WwwEACAAJ?fife=w400-h600&source=gbs_api,"While Petey the Cat has reevaluated what matters most in his life, Li'l Petey is struggling to find the good in the world."
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,https://books.google.com/books/publisher/content/images/frontcover/Sp1-DwAAQBAJ?fife=w400-h600&source=gbs_api,"Petey learns what it means to do good in the seventh Dog Man book from worldwide bestselling author and artist Dav Pilkey. The Supa Buddies have been working hard to help Dog Man overcome his bad habits. But when his obsessions turn to fears, Dog Man finds himself the target of an all-new supervillain! Meanwhile, Petey the Cat has been released from jail and starts a new life with Li'l Petey. But when Petey's own father arrives, Petey must face his past and fight for who he loves. Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of doing good."
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,https://books.google.com/books/publisher/content/images/frontcover/2ObWDgAAQBAJ?fife=w400-h600&source=gbs_api,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • FINALIST: National Book Critics Circle’s Award In Autobiography and John Leonard Prize For Best First Book • PEN/Jean Stein Book Award • Los Angeles Times Book Prize Born to survivalists in the mountains of Idaho, Tara Westover was seventeen the first time she set foot in a classroom. Her family was so isolated from mainstream society that there was no one to ensure the children received an education, and no one to intervene when one of Tara’s older brothers became violent. When another brother got himself into college, Tara decided to try a new kind of life. Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge University. Only then would she wonder if she’d traveled too far, if there was still a way home. “Beautiful and propulsive . . . Despite the singularity of [Westover’s] childhood, the questions her book poses are universal: How much of ourselves should we give to those we love? And how much must we betray them to grow up?”—Vogue NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The Washington Post • O: The Oprah Magazine • Time • NPR • Good Morning America • San Francisco Chronicle • The Guardian • The Economist • Financial Times • Newsday • New York Post • theSkimm • Refinery29 • Bloomberg • Self • Real Simple • Town & Country • Bustle • Paste • Publishers Weekly • Library Journal • LibraryReads • Book Riot • Pamela Paul, KQED • New York Public Library"
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,https://books.google.com/books/publisher/content/images/frontcover/h4vktgEACAAJ?fife=w400-h600&source=gbs_api,"Celebrate the 20th birthday of much-loved picture book classic, Giraffes Can't Dance, with this special new edition featuring a super-shiny cover! Gerald the giraffe longs to go to the great Jungle Dance, but how can he join in when he doesn't know how to tango or two-step? Everyone knows that giraffes can't dance ... or can they? A funny, touching and triumphant story about being yourself and finding your own tune, Giraffes Can't Dance has been a family favourite for 20 years. ""All toddlers should grow up reading this"" Daily Mail ""A modern classic"" Baby & Me ""A joyful read about an outsider who finds acceptance on his own terms . . . there's also a simple moral about tolerance and daring to be different"" Junior ""A fantastically funny and wonderfully colourful romp"" Daily Telegraph"
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,https://books.google.com/books/publisher/content/images/frontcover/ENFgDwAAQBAJ?fife=w400-h600&source=gbs_api,"Rachel Hollis points out the pitfalls, challenges, and excuses that stop us from achieving our aspirations. Rachel Hollis has seen it too often: Women not living into their full potential. They feel a tugging on their hearts for something more, but they’re afraid of embarrassment, of falling short of perfection, of not being enough. In Girl, Stop Apologizing, #1 New York Times bestselling author and founder of a multimillion-dollar media company Rachel Hollis sounds a wake-up call. She knows that many women have been taught to define themselves in light of other people—whether as wife, mother, daughter, or employee—instead of learning how to own who they are and what they want. In this book, Hollis helps you to: identify the excuses to let go of, the behaviors to adopt, And the skills to acquire on the path to growth, confidence, and believing in yourself. Hollis shares stories and principles with raw honesty that inspires her readers to discover and take the practical steps that will put them on a lifelong path of personal growth. Girl, Stop Apologizing is the life- changing guide you need to dump your excuses, embrace your dreams, set boundaries, and gain real confidence in life."
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,https://books.google.com/books/publisher/content/images/frontcover/YZMoDwAAQBAJ?fife=w400-h600&source=gbs_api,"#1 NEW YORK TIMES BESTSELLER – OVER 3 MILLION COPIES SOLD Do you ever suspect that everyone else has life figured out and you don’t have a clue? If so, Rachel Hollis has something to tell you: that’s a lie. If you have ever said any of these things to yourself . . . Something else will make me happy. I’m not a good mom. I will never get past this. I am defined by my weight. I should be further along by now. . . . then you could benefit from the unflinching faith and rock-hard tenacity Rachel Hollis has in store for you. In this challenging but conversational book, Rachel exposes the twenty lies and misconceptions that too often hold us back from living joyfully and productively, lies we’ve told ourselves so often we don’t even hear them anymore. Rachel is real and talks about real issues. More than that, she reveals the specific practical strategies that helped her move past them. In the process, she encourages, entertains, and even kicks a little butt, all to convince you to do whatever it takes to get real and become the joyous, confident woman you were meant to be. Because you really can live with passion and hustle – and give yourself grace without giving up."
